== Alignment Results (odd-one-out accuracy) ==

[distance=cosine] file=/home/maxvonk/diffusion-alignment/things_playground/things_data/alignment.pkl
  source | model | module | acc
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.15 | 0.3862
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.16 | 0.3828
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.17 | 0.3796
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.18 | 0.3772
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.19 | 0.3757
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.2 | 0.3688
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.20 | 0.3773
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.21 | 0.3772
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.22 | 0.3754
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.23 | 0.3757
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.3 | 0.3698
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.4 | 0.3722
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.5 | 0.3719
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.6 | 0.3731
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.7 | 0.3761
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.8 | 0.3836
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_30 | transformer_blocks.9 | 0.3859
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.0 | 0.3664
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.1 | 0.3684
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.10 | 0.3943
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.11 | 0.3922
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.12 | 0.3946
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.13 | 0.3927
  diffusion | diffusion_stabilityai/stable-diffusion-3-medium-diffusers_40 | transformer_blocks.14 | 0.3914
